,Product_Name,Brand,Capacity,Original_Price,Discount_Price,Discount_Percentage,specification,Rating,totalNumberofRatingGivens
768,TrendZone Protein Shaker | Sipper Bottle | Gym Bottle |...,TrendZone,NaN,₹290,₹194,33% off,"Pack of 1, Multicolor, Tritan, Plastic",4.1,(74)
769,STARRY Stainless Steel Fridge/Sports /Refrigerator Wate...,STARRY,NaN,₹595,₹239,59% off,"Pack of 1, Silver, Steel",NaN,NaN
770,Indian Blu Smart Protein Shaker Bottle for gym with 2 S...,Indian,NaN,₹250,₹204,18% off,"Pack of 1, Black, Plastic",4.1,(96)
771,Pantene Hair Fall Control Shampoo Men & Women,Pantene,NaN,NaN,₹115,NaN,180 ml,4.3,"(2,177)"
772,Milton New Smarty 900 730 ml Bottle,Milton,730 ml,₹877,₹855,2% off,"Pack of 1, White, Steel",NaN,NaN
773,STARRY Stainless Steel Fridge water bottle 1000 ml (Pac...,STARRY,1000 ml,"₹1,190",₹429,63% off,"Pack of 2, Silver, Steel",NaN,NaN
774,Tupperware Aquasafe Water Bottle Set 1000 ml Bottle,Tupperware,1000 ml,"₹1,100",₹820,25% off,"Pack of 4, Multicolor, Plastic",4.3,(30)
775,SPEEDEX Single Walled Stainless Steel Fridge Water Bott...,SPEEDEX,NaN,₹549,₹400,27% off,"Pack of 1, Blue, Steel",4.1,(114)
776,"shopguru india Lyra Glass Milk, Water and Juice Bottle ...",shopguru,NaN,"₹2,080",₹409,80% off,"Pack of 6, Clear, Glass",4.1,(83)
777,"Princeware Pet Fridge Bottle IRIS 1000 MLx 3 (PL), Tran...",Princeware,1000 ML,₹199,₹109,45% off,"Pack of 3, Clear, PET",NaN,NaN
778,Milton Atlantis 500 ml Bottle,Milton,500 ml,₹665,₹566,14% off,"Pack of 1, Black, Steel",4.5,(70)
779,Greenchef SS Bottle - 750ml with Handle 750 ml Bottle,Greenchef,750ml,₹899,₹589,34% off,"Pack of 1, Silver, Steel",4.3,"(2,015)"
780,Mattel Classic 400 ml,Mattel,400 ml,₹269,₹201,25% off,"Blue, Pink",4.3,(80)
781,Disney DORA 400 ml Water Bottle,Disney,400 ml,NaN,₹199,NaN,"Set of 1, White",3.8,(63)
782,kitchen gram 3 1000 ml Water Bottles,kitchen,1000 ml,"₹2,999","₹1,149",61% off,"Set of 3, Gold",NaN,NaN
783,AKG Stainless Steel Fridge Water Bottle/Refrigerator Bo...,AKG,NaN,₹999,₹599,40% off,"Pack of 3, Silver, Steel",3.9,(169)
784,Marvel Classic 350 ml,Marvel,350 ml,NaN,₹349,NaN,Multicolor,3.9,(12)
785,Nike HYPERFUEL WATER BOTTLE 18OZ 530 ml Sipper,Nike,530 ml,₹990,₹890,10% off,"Pack of 1, Black, Plastic",NaN,NaN
786,Lifestraw 2 Stage Grey 650 ml Sipper,Lifestraw,650 ml,"₹2,790","₹2,299",17% off,"Pack of 1, Grey, Tritan",4.1,(7)
787,"Spider Protein shaker bottle, 550 ml,Leak proof, storag...",Spider,550 ml,"₹1,200",₹539,55% off,"Pack of 4, Red, White, Green, Blue, Black, Yellow, Plastic",3,(18)
788,Milton Thermosteel Flip lid 1000 ml Flask,Milton,1000 ml,₹995,₹849,14% off,"Pack of 1, Silver, Steel, Copper",4.4,"(1,35,756)"
789,Milton Thermosteel duo dlx 1000 1000 ml Bottle,Milton,1000 ml,"₹1,200",₹999,16% off,"Pack of 1, Steel/Chrome, Steel",4.5,"(4,182)"
790,Milton PRUDENT-800 Thermosteel Hot & Cold Water Bottle ...,Milton,NaN,₹995,₹849,14% off,"Pack of 1, Pink, Blue, Steel",4.4,(715)
791,Johnnie Boy Stainless Steel Vacuum Cup Outdoor Water Bo...,Johnnie,NaN,"₹1,299",₹549,57% off,"Pack of 1, Multicolor, Steel",4.2,(5)
792,EASYDEX Bottle Pump Glass Oil Sprayer | Oil Spray Bottl...,EASYDEX,NaN,₹999,₹296,70% off,"Pack of 1, Clear, Glass",3,(4)
793,Tupperware Fliptop Bottle 750 ml Bottle,Tupperware,750 ml,"₹1,100",₹989,10% off,"Pack of 4, Yellow, Green, Blue, Red, Plastic",4.8,(9)
794,Mohankheda SILICONE PORTABLE FOLDABLE WATER BOTTLE 500 ...,Mohankheda,NaN,₹999,₹480,51% off,"Pack of 1, Orange, Plastic",NaN,NaN
795,Pigeon Tamba 1 Ltr Copper water bottle 1000 ml Bottle,Pigeon,1000 ml,₹995,₹669,32% off,"Pack of 1, Copper, Copper",4,"(2,089)"
796,Piramal Glass Food Grade Water Bottle | Glass Water Bot...,Piramal,NaN,₹600,₹477,20% off,"Pack of 4, Clear, Glass",4.8,(32)
797,PricelessDeals 500 ml Cute Unicorn Character Insulated ...,PricelessDeals,500 ml,₹499,₹350,29% off,"Set of 1, Pink",3.7,(35)
798,Toys Factory NA 600 ml Water Bottle,Toys,600 ml,₹999,₹415,58% off,"Set of 1, White",NaN,NaN
799,SNT Shaker Bottle 1000 ml 1000 ml Bottle,SNT,1000 ml,₹490,₹250,48% off,"Pack of 1, Black, Plastic",NaN,NaN
800,Cello sportigo 800 ml Bottle,Cello,800 ml,₹304,₹235,22% off,"Pack of 2, Blue, Pink, Plastic",4.3,"(3,317)"
801,SHUANG YOU White 1000 mL Steel Water Bottle set of 1 10...,SHUANG,1000 mL,₹899,₹350,61% off,"Pack of 1, Silver, Steel",3.6,(28)
802,"Milton Aqua Stainless Steel Fridge Water Bottle 930ml, ...",Milton,930ml,₹441,₹319,27% off,"Pack of 1, Silver, Steel",3.9,(479)
803,STARRY Jointless Mirror Shine Stainless Steel Water Bot...,STARRY,NaN,₹549,₹299,45% off,"Pack of 1, Silver, Steel",NaN,NaN
804,Cronus Smart Buy Bubble Shape Designer Water Bottle For...,Cronus,NaN,"₹1,699",₹699,58% off,"Pack of 12, Multicolor, Plastic",4.3,(958)
805,NEXIUM Exclusive Air Tight Fridge School College Water ...,NEXIUM,NaN,₹699,₹420,39% off,Multicolor,4.3,(181)
806,Marvel Classic 415 ml,Marvel,415 ml,NaN,₹249,NaN,Red,4.1,(7)
807,MOVIK SIPPER 200 ml,MOVIK,200 ml,₹799,₹325,59% off,Multicolor,NaN,NaN
808,"Tuelip ""brain art work"" Printed Sipper Can Shape Bottle...",Tuelip,NaN,₹699,₹249,64% off,Multicolor,3.4,(8)
809,STARRY Stainless Steel Fridge/Sports /Refrigerator Wate...,STARRY,NaN,₹595,₹239,59% off,"Pack of 1, Silver, Steel",NaN,NaN
810,QUINERGYS ™ Shaker Bottle Protein Shaker | Sipper Bottl...,QUINERGYS,NaN,₹290,₹195,32% off,"Pack of 1, Green, Tritan, Plastic",3.6,(12)
811,Fitastic Blender Steel 700 ml Shaker,Fitastic,700 ml,"₹1,200",₹499,58% off,"Pack of 1, Blue, Steel",4.2,(19)
812,Nova BPA Free 007 Premium 700 ml Shaker,Nova,700 ml,₹999,₹185,81% off,"Pack of 1, White, Black, Plastic",4.1,"(2,783)"
813,STARRY Stainless Steel Fridge water bottle 1000 ml (Pac...,STARRY,1000 ml,"₹1,190",₹429,63% off,"Pack of 2, Silver, Steel",NaN,NaN
814,Park Avenue Beer Anti Dandruff Shampoo Men & Women,Park,NaN,NaN,₹155,NaN,180 ml,4.2,"(13,960)"
815,Denish Pack of 5 Transparent Empty Spray Bottle 100 ml ...,Denish,100 ml,₹599,₹210,64% off,"Pack of 5, Clear, Plastic",3.9,"(1,220)"
816,MACARIZE Superior Quality Water Fridge Sports Bottle Fo...,MACARIZE,NaN,"₹1,499",₹379,74% off,"Pack of 6, Multicolor, PET, Plastic",5,(3)
817,Cello sportigo 800 ml Bottle,Cello,800 ml,₹304,₹235,22% off,"Pack of 2, Orange, Grey, Plastic",4.3,"(3,317)"
818,Parteet Stainless Steel Vacuum Unicorn Print Water Bott...,Parteet,NaN,₹800,₹369,53% off,"Pack of 1, Multicolor, Steel",4.2,(31)
819,Greenchef SS Bottle - 750ml with Handle 750 ml Bottle,Greenchef,750ml,₹899,₹589,34% off,"Pack of 1, Silver, Steel",4.3,"(2,015)"
820,Quick Shel Single Wall Stainless Steel Travel Gym Water...,Quick,NaN,₹899,₹270,69% off,"Pack of 1, Blue, Steel",3.9,(389)
821,Cello Sportigo 1000 ml Bottle,Cello,1000 ml,₹150,₹147,2% off,"Pack of 1, Grey, Plastic",4.2,"(2,566)"
822,Signoraware Classic 500 ml,Signoraware,500 ml,NaN,₹210,NaN,Pink,NaN,NaN
823,AKG Stainless Steel Fridge Water Bottle/Refrigerator Bo...,AKG,NaN,₹999,₹599,40% off,"Pack of 3, Silver, Steel",3.9,(169)
824,NFI essentials Y81 Red 750 ml Water Bottle,NFI,750 ml,₹550,₹249,54% off,"Set of 1, Red",3.7,(22)
825,Nick Dora 600 ml Water Bottle,Nick,600 ml,NaN,₹449,NaN,"Set of 1, Dark Pink, Light Pink",4.1,(46)
826,Marvel AVANGER 750 ml Water Bottle,Marvel,750 ml,NaN,₹399,NaN,"Set of 1, GRAY, GREEN",3.9,(37)
827,Chubs High Quality Gym Shaker Gallon 1500 ml Shaker,Chubs,1500 ml,₹399,₹199,50% off,"Pack of 1, Multicolor, PET",4.1,(37)
828,Nike Nike Elite Water Bottle 600 ml Sipper,Nike,600 ml,₹850,₹765,10% off,"Pack of 1, Orange, Plastic",4.5,(132)
829,SNT Shaker Bottle 1000 ml 1000 ml Bottle,SNT,1000 ml,₹490,₹250,48% off,"Pack of 1, Black, Plastic",NaN,NaN
830,VOLCO My Gym Shaker Bottle with Pill & Protein Storage ...,VOLCO,NaN,"₹1,099",₹459,58% off,"Pack of 1, Multicolor, Plastic",3.9,(18)
831,"Milton Thermosteel Glassy Drinking Cup Lid, 1000 Ml, Pu...",Milton,1000 Ml,"₹1,040",₹884,15% off,"Pack of 1, Purple, Steel",4.4,"(5,359)"
832,"GPET Checkers Pet Bottle Set (Set Of 6) Purple, Orange,...",GPET,NaN,₹918,₹499,45% off,"Pack of 6, Clear, PET",4.4,(446)
833,SPEEDEX Single Walled Stainless Steel Fridge Water Bott...,SPEEDEX,NaN,₹449,₹399,11% off,"Pack of 1, Blue, Steel",4.1,(434)
834,"NIRLON Stainless Steel Freezer Water Bottle Combo Set, ...",NIRLON,NaN,"₹2,475",₹798,67% off,"Pack of 3, Black, Steel",3.9,(31)
835,Flipkart SmartBuy Bubble 1000 ml Bottle,Flipkart,1000 ml,₹599,₹299,50% off,"Pack of 3, Blue, Pink, White, PET",3.8,"(1,456)"
836,Cello VENICE MULTICOLOR (PACK OF 8) 1000 ml Bottle,Cello,1000 ml,₹864,₹590,31% off,"Pack of 8, Multicolor, PET",4.4,(561)
837,Pigeon Glamour Stainless Steel 600 ml Bottle,Pigeon,600 ml,₹665,₹411,38% off,"Pack of 1, Blue, Steel",NaN,NaN
838,"khodiyar Water Bottle Set, Fridge Bottles 1000 ml (Pack...",khodiyar,1000 ml,"₹1,400",₹799,42% off,"Pack of 6, Green, Plastic",NaN,NaN
839,Milton Thermosteel duo dlx 1000 1000 ml Bottle,Milton,1000 ml,"₹1,200",₹999,16% off,"Pack of 1, Steel/Chrome, Steel",4.5,"(4,182)"
840,Cello H2O Steel Fridge Bottle Pack of 3 1000 ml Bottle,Cello,1000 ml,"₹1,834","₹1,179",35% off,"Pack of 3, Silver, Steel, Aluminium",4.2,(167)
841,"Taluka (9.5"" x 3.4"" Inches approx) Stainless Steel Oil ...",Taluka,NaN,"₹1,800",₹330,81% off,"Pack of 1, Steel/Chrome, Steel",3.5,(184)
842,Cello Sportigo 1000 ml Bottle,Cello,1000 ml,NaN,NaN,NaN,"Pack of 1, Blue, Plastic",4.2,"(2,566)"
843,STARRY Jointless Mirror Shine Stainless Steel Water Bot...,STARRY,NaN,₹549,₹299,45% off,"Pack of 1, Silver, Steel",NaN,NaN
844,Flipkart SmartBuy Bubble 1000 ml Bottle,Flipkart,1000 ml,₹599,₹299,50% off,"Pack of 3, Blue, Pink, White, PET",3.8,"(1,456)"
845,"Milton THERMOSTEEL DUO 1800 1800 ml Bottle (Pack of 1, ...",Milton,1800 ml,"₹1,820","₹1,581",13% off,"Pack of 1, Steel/Chrome, Steel",4.3,(145)
846,Tupperware Aquasafe Cool n Chic My Green Bottle 500 ml ...,Tupperware,500 ml,₹550,₹519,5% off,"Pack of 2, Blue, Purple, Plastic",4.5,(228)
847,Marvel SPIDERMAN 400 ml Water Bottle,Marvel,400 ml,₹299,₹254,15% off,"Set of 1, Red, Blue",3.9,(65)
848,Marvel Spiderman 450 ml Water Bottle,Marvel,450 ml,NaN,₹399,NaN,"Set of 1, Dark Blue, Red",NaN,NaN
849,STARRY Stainless Steel Fridge/Sports /Refrigerator Wate...,STARRY,NaN,₹595,₹239,59% off,"Pack of 1, Silver, Steel",NaN,NaN
850,Hasbro Classic 350 ml,Hasbro,350 ml,NaN,₹799,NaN,Multicolor,NaN,NaN
851,Disney Tumbler 300 ml,Disney,300 ml,NaN,₹399,NaN,Blue,NaN,NaN
852,Cello 24 Hour Hot & Cold 500 ml Sipper,Cello,500 ml,₹598,₹570,4% off,"Pack of 1, Silver, Steel",3.8,(36)
853,STARRY Stainless Steel Fridge water bottle 1000 ml (Pac...,STARRY,1000 ml,"₹1,190",₹429,63% off,"Pack of 2, Silver, Steel",NaN,NaN
854,PRORUN Acrylic Frosty Mason Jar With Straw 550 ml Sippe...,PRORUN,550 ml,₹899,₹299,66% off,"Pack of 1, Blue, Plastic",NaN,NaN
855,"Nike SPORT WATER BOTTLE 570ml, Sport(CLEAR/BLACK) 570 m...",Nike,570ml,NaN,₹850,NaN,"Pack of 1, White, Black, Plastic",NaN,NaN
856,Chef Urbano Brown Flax Seeds,Chef,NaN,₹175,₹149,14% off,500 g,4.3,(762)
857,KenBerry Alpha-Plus-(Pack of 1) 750 ml Bottle,KenBerry,750 ml,₹495,₹275,44% off,"Pack of 1, Steel/Chrome, Steel",4,(814)
858,Kuber Industries Stainless Steel Fridge Water Bottle/Re...,Kuber,NaN,"₹1,798",₹449,75% off,"Pack of 2, Silver, Steel",3.8,(92)
859,Greenchef SS Bottle - 750ml with Handle 750 ml Bottle,Greenchef,750ml,₹899,₹589,34% off,"Pack of 1, Silver, Steel",4.3,"(2,015)"
860,Milton VIRTUE 750 750 ml Bottle,Milton,750 ml,₹358,₹305,14% off,"Pack of 1, Pink, Steel",4,"(1,297)"
861,Milton MAX 600 600 ml Bottle,Milton,600 ml,₹500,₹299,40% off,"Pack of 1, Silver, Steel",NaN,NaN
862,Cello rover insulated bottle inner steel 600 ml orange ...,Cello,600 ml,₹435,₹399,8% off,"Pack of 1, Orange, Steel",NaN,NaN
863,AKG Stainless Steel Fridge Water Bottle/Refrigerator Bo...,AKG,NaN,₹999,₹599,40% off,"Pack of 3, Silver, Steel",3.9,(169)
864,Tupperware Aquasafe Fiptop Eco Bottle 2000 ml Bottle,Tupperware,2000 ml,₹830,₹620,25% off,"Pack of 2, Pink, Blue, Plastic",4.5,(350)
865,Tuelip Sports Stainless Steel Water Bottle For School G...,Tuelip,NaN,₹699,₹269,61% off,"Set of 1, Orange",3.8,(42)
866,Tied Ribbons Simply the best sister Printed 600 ml Wate...,Tied,600 ml,"₹1,099",₹399,63% off,"Set of 1, White",4.1,(30)
867,Marvel AVENGERS 500 ml Water Bottle,Marvel,500 ml,NaN,₹299,NaN,"Set of 1, Dark Blue",NaN,NaN
868,Marvel AVENGERS 500 ml Water Bottle,Marvel,500 ml,NaN,₹299,NaN,"Set of 1, Multicolor",3.7,(21)
869,Milton Thermosteel duo dlx 1000 1000 ml Bottle,Milton,1000 ml,"₹1,200",₹999,16% off,"Pack of 1, Steel/Chrome, Steel",4.5,"(4,182)"
870,Shop At Bargain SBS(163) Shaker Black - 500 ML 500 ml S...,Shop,500 ML,₹599,₹205,65% off,"Pack of 1, Black, Plastic",NaN,NaN
871,"Crafts For You Doll Insulated Plastic Coffee, Juice Mil...",Crafts,NaN,₹449,₹299,33% off,"Pack of 1, Multicolor, Plastic",NaN,NaN
872,TRUE INDIAN (BLACK) 500 ml Shaker,TRUE,500 ml,₹299,₹162,45% off,"Pack of 1, Black, Plastic",4.2,(37)
873,Tupperware Fliptop Bottle 750 ml Bottle,Tupperware,750 ml,"₹1,100",₹989,10% off,"Pack of 4, Yellow, Green, Blue, Red, Plastic",4.8,(9)
874,Milton Thermosteel Flip Lid 750 ml Flask,Milton,750 ml,₹895,₹683,23% off,"Pack of 1, Silver, Steel, Copper",4.4,"(1,35,755)"
875,NERR ™ COPPER BOTTLE 1000ML 1000 Bottle,NERR,1000ML,₹956,₹447,53% off,"Pack of 1, Orange, Copper",3.9,(91)
876,Cello CRYSTAL 1000 ml Bottle,Cello,1000 ml,₹540,₹335,37% off,"Pack of 12, Blue, PET",2.5,(4)
877,Cello Vnice 1000 ml Bottle,Cello,1000 ml,₹525,₹425,19% off,"Pack of 5, Multicolor, Plastic",4.5,"(5,315)"
878,Tupperware Aquasafe Cool n Chic My Green Bottle 500 ml ...,Tupperware,500 ml,₹550,₹519,5% off,"Pack of 2, Blue, Purple, Plastic",4.5,(228)
879,SNT Shaker Bottle 1000 ml 1000 ml Bottle,SNT,1000 ml,₹490,₹250,48% off,"Pack of 1, Black, Plastic",NaN,NaN
880,"Crafts For You Doll Insulated Plastic Coffee, Juice Mil...",Crafts,NaN,₹449,₹299,33% off,"Pack of 1, Multicolor, Plastic",NaN,NaN
881,Ketomac B6920011 Men & Women,Ketomac,NaN,₹432,₹375,13% off,2,4.3,(63)
882,Cello rover insulated bottle inner steel 600 ml orange ...,Cello,600 ml,₹435,₹399,8% off,"Pack of 1, Orange, Steel",NaN,NaN
883,STARRY Jointless Mirror Shine Stainless Steel Water Bot...,STARRY,NaN,₹549,₹299,45% off,"Pack of 1, Silver, Steel",NaN,NaN
884,Tupperware Aquasafe Cool n Chic My Green Bottle 500 ml ...,Tupperware,500 ml,₹550,₹519,5% off,"Pack of 2, Blue, Purple, Plastic",4.5,(228)
885,"Cello Venice Plastic Water Bottle, 1 Litre, Set of 2, B...",Cello,NaN,NaN,₹219,NaN,"Pack of 2, Blue, Plastic",4.4,(150)
886,Milton Atlantis-900 Thermosteel Hot & Cold Tea Water Bo...,Milton,NaN,₹890,₹757,14% off,"Pack of 1, Pink, Steel",4.4,"(3,651)"
887,Milton VIRTUE 750 750 ml Bottle,Milton,750 ml,₹358,₹305,14% off,"Pack of 1, Pink, Steel",4,"(1,297)"
888,SPEEDEX Easy Grip Single Walled Stainless Steel Water B...,SPEEDEX,NaN,₹525,₹388,26% off,"Pack of 1, Red, Steel",4.1,(190)
889,STARRY Stainless Steel Fridge/Sports /Refrigerator Wate...,STARRY,NaN,₹595,₹239,59% off,"Pack of 1, Silver, Steel",NaN,NaN
890,My Baby Excel Classic 370 ml Water Bottle,My,370 ml,₹299,₹224,25% off,"Set of 1, Blue",3.6,(28)
891,PagKis SUS 304 Stainless Steel 500 ml Water Bottle,PagKis,500 ml,"₹1,595",₹794,50% off,"Set of 1, Pink",4.8,(18)
892,"drr Aluminium Durable Sports Water Bottle For College,S...",drr,NaN,₹999,₹499,50% off,Multicolor,NaN,NaN
893,STARRY Stainless Steel Fridge water bottle 1000 ml (Pac...,STARRY,1000 ml,"₹1,190",₹429,63% off,"Pack of 2, Silver, Steel",NaN,NaN
894,Kevlin Pack of 5 100 ml Water Bottles,Kevlin,100 ml,₹499,₹149,70% off,"Set of 5, White",3.2,(5)
895,TrendZone Protein Milk Plastic Shaker.500ml Black Colou...,TrendZone,500ml,₹250,₹204,18% off,"Pack of 1, Black, Plastic",NaN,NaN
896,Prestige Tattva Copper Bottle with Sipper 700 ml Sipper,Prestige,700 ml,₹845,₹749,11% off,"Pack of 1, Copper, Copper",4.1,(33)
897,Alpyog Electric Blender Bottle 380 ml Shaker,Alpyog,380 ml,NaN,₹728,NaN,"Pack of 1, Green, Plastic",3.5,(64)
898,Plum Green Tea Alcohol-Free Toner Men & Women,Plum,NaN,₹390,₹312,20% off,200 ml,4.2,"(12,217)"
899,Greenchef SS Bottle - 750ml with Handle 750 ml Bottle,Greenchef,750ml,₹899,₹589,34% off,"Pack of 1, Silver, Steel",4.3,"(2,015)"
900,Cello CRYSTAL 1000 ml Bottle,Cello,1000 ml,₹540,₹335,37% off,"Pack of 12, Blue, PET",2.5,(4)
901,Cello Vnice 1000 ml Bottle,Cello,1000 ml,₹525,₹425,19% off,"Pack of 5, Multicolor, Plastic",4.5,"(5,315)"
902,"Milton Duke Thermosteel Hot & Cold Water Bottle, 600 ml...",Milton,600 ml,₹920,₹728,20% off,"Pack of 1, Pink, Steel",4.3,"(2,037)"
903,AKG Stainless Steel Fridge Water Bottle/Refrigerator Bo...,AKG,NaN,₹999,₹599,40% off,"Pack of 3, Silver, Steel",3.9,(169)
904,Wonderchef Fridge Bot 1000 ml Bottle,Wonderchef,1000 ml,"₹1,000",₹711,28% off,"Pack of 2, Silver, Steel",4.4,(5)
905,"VIVA h2o Stainless Steel Water Bottle for Kids,Teens,Tr...",VIVA,NaN,NaN,₹489,NaN,"Pack of 1, Brown, Steel",NaN,NaN
906,Aarushi Food Grade Plastic (Pack of 3) 1000 ml Bottle,Aarushi,1000 ml,"₹1,000",₹255,74% off,"Pack of 3, Multicolor, Plastic",3.9,(112)
907,Quick Shel OMBRE EFFECT 500 ml,Quick,500 ml,₹999,₹390,60% off,"Pink, White",4.8,(4)
908,Online World Online World Double Vacuum Insulated Stain...,Online,NaN,"₹1,099",₹403,63% off,Pink,3.3,(3)
909,SNT Shaker Bottle 1000 ml 1000 ml Bottle,SNT,1000 ml,₹490,₹250,48% off,"Pack of 1, Black, Plastic",NaN,NaN
910,Disney FROZEN 500 ml Water Bottle,Disney,500 ml,NaN,₹299,NaN,"Set of 1, Light Blue, Red",3.6,(8)
911,Joyo Ss_ranger 1000 ml Water Bottle,Joyo,1000 ml,"₹1,499",₹749,50% off,"Set of 1, Silver",NaN,NaN
912,SHOPNJAZZ Acrylic Sipper Combo (Pack of 2) BLING BLING ...,SHOPNJAZZ,NaN,NaN,₹690,NaN,"Pack of 2, Multicolor, Glass",NaN,NaN
913,Tupperware Fliptop Bottle 750 ml Bottle,Tupperware,750 ml,"₹1,100",₹989,10% off,"Pack of 4, Yellow, Green, Blue, Red, Plastic",4.8,(9)
914,urban gear Smart Gym Shaker Bottle with Blending Ball &...,urban,NaN,₹699,₹320,54% off,"Pack of 1, Orange, Grey, Plastic",3.2,(5)
915,Shop4All Jar With straw This Is my Drink 450 ml Sipper ...,Shop4All,450 ml,₹699,₹370,47% off,"Pack of 1, Purple, Plastic",4.6,(42)
916,HP 17 inch Laptop Backpack,HP,NaN,"₹1,108",₹320,71% off,Black,3.9,"(1,329)"
917,Health Mechanic Hot_nd_Cold_Silver_Red_500ml(2) 500 ml ...,Health,500ml,₹999,₹599,40% off,"Pack of 2, Multicolor, Steel",3.8,(10)
918,Milton MAX 600 600 ml Bottle,Milton,600 ml,₹500,₹299,40% off,"Pack of 1, Silver, Steel",NaN,NaN
919,Milton Thermosteel duo dlx 1000 1000 ml Bottle,Milton,1000 ml,"₹1,200",₹999,16% off,"Pack of 1, Steel/Chrome, Steel",4.5,"(4,182)"
920,Tupperware Peppa Pig Thirst n Go Tumblers 470 ml Sipper,Tupperware,470 ml,₹900,₹685,23% off,"Pack of 2, Pink, Blue, Plastic",4.9,(7)
921,Bestdealproduct Unisex Spider Gym Sipper Protein Shaker...,Bestdealproduct,NaN,₹250,₹198,20% off,"Pack of 1, Multicolor, Plastic",4.4,(47)
922,Tupperware Kids Water bottle Tumbler with Sipprer 12 oz...,Tupperware,NaN,"₹1,200",₹585,51% off,"Pack of 4, Orange, Yellow, Plastic",4.8,(21)
923,AKG Stainless Steel Fridge Water Bottle/Refrigerator Bo...,AKG,NaN,₹999,₹599,40% off,"Pack of 3, Silver, Steel",3.9,(169)
924,Nescafe Gold Instant Coffee,Nescafe,NaN,₹290,₹275,5% off,50 g,4.5,"(5,849)"
925,KenBerry Alpha Duke 750 ml Bottle,KenBerry,750 ml,₹990,₹575,41% off,"Pack of 2, Black, Steel",3.3,(4)
926,"KWICK BOX Multicolor 1000 ml Bottle (Pack of 8, Red, Bl...",KWICK,1000 ml,₹999,₹399,60% off,"Pack of 8, Multicolor, Plastic",NaN,NaN
927,Vaya Drynk Shiny Black Thermosteel Water Bottle with Si...,Vaya,NaN,"₹1,990","₹1,450",27% off,"Pack of 1, Black, Steel",4,(144)
928,Nayasa FONTANA 1500 ml Bottle,Nayasa,1500 ml,₹499,₹250,49% off,"Pack of 2, Pink, Plastic",4.2,(494)
929,STARRY Jointless Mirror Shine Stainless Steel Water Bot...,STARRY,NaN,₹549,₹299,45% off,"Pack of 1, Silver, Steel",NaN,NaN
930,Milton Sler 750 750 ml Bottle,Milton,750 ml,₹930,₹791,14% off,"Pack of 1, Blue, Steel",4.5,(20)
931,Cello LIFESTYLE ST105 1000 ml Bottle,Cello,1000 ml,₹999,₹849,15% off,"Pack of 1, Silver, Steel, Aluminium",4.2,(256)
932,Cartoon Network Ben 10 750 ml Water Bottle,Cartoon,750 ml,NaN,₹499,NaN,"Set of 1, Green, Steel",4,(3)
933,AKG Stainless Steel Water Bottle/ Fridge Water Bottle 1...,AKG,NaN,"₹2,999","₹1,098",63% off,"Pack of 6, Silver, Steel",4,(281)
934,Rema Do Your Best 1000 Stainless Steel Water Bottle For...,Rema,NaN,₹400,₹200,50% off,"Set of 1, Red",4.3,(3)
935,Marvel IRONMAN 750 ml Water Bottle,Marvel,750 ml,₹599,₹509,15% off,"Set of 1, Red",4.1,(8)
936,Tuelip Combo Of 2 Stainless Steel Water Bottle For Scho...,Tuelip,NaN,₹799,₹449,43% off,"Set of 2, Blue, Green",3.9,(43)
937,TrendZone Spider Gym Bottle Sports Protein Shaker Fitne...,TrendZone,NaN,₹311,₹202,35% off,"Pack of 1, Multicolor, Plastic",3.8,(16)
938,VOLCO BPA Free Gym Shaker/Bottle/Sipper with Mixer Ball...,VOLCO,NaN,₹799,₹199,75% off,"Pack of 1, Black, Maroon, Plastic",4,(103)
939,STARRY Stainless Steel Fridge/Sports /Refrigerator Wate...,STARRY,NaN,₹595,₹239,59% off,"Pack of 1, Silver, Steel",NaN,NaN
940,My 60 Minutes Gym 600 ml Shaker,My,600 ml,₹399,₹149,62% off,"Pack of 1, White, Plastic",4.1,(395)
941,Bacto-V Gadget Disinfectant Spray,Bacto-V,NaN,₹249,₹199,20% off,100 ml,4.2,"(1,458)"
942,UNICOP Pure Copper High Quality Luxirious 1000 ml Bottl...,UNICOP,1000 ml,₹999,₹802,19% off,"Pack of 2, Brown, Copper",4.2,(6)
943,STARRY Stainless Steel Fridge water bottle 1000 ml (Pac...,STARRY,1000 ml,"₹1,190",₹429,63% off,"Pack of 2, Silver, Steel",NaN,NaN
944,Milton oscar 1000 ml Bottle,Milton,1000 ml,₹270,₹195,27% off,"Pack of 6, Blue, Plastic",4.3,(3)
945,Milton Unisteel Campa 1100 1010 ml Bottle,Milton,1010 ml,₹495,₹439,11% off,"Pack of 1, Silver, Steel",3.9,(179)
946,Flipkart SmartBuy Designer Bubble 6000 ml Bottle,Flipkart,6000 ml,"₹1,279",₹499,60% off,"Pack of 6, Multicolor, PET",4.4,"(2,174)"
947,Flipkart SmartBuy Daimond 1200 ml Bottle,Flipkart,1200 ml,₹999,₹347,65% off,"Pack of 3, White, Green, Red, PET",4.4,(941)
948,Wonderchef Gym-Bot single wall 500 ml Bottle,Wonderchef,500 ml,₹400,₹219,45% off,"Pack of 1, Copper, Steel",4.5,(12)
949,Greenchef SS Bottle - 750ml with Handle 750 ml Bottle,Greenchef,750ml,₹899,₹589,34% off,"Pack of 1, Silver, Steel",4.3,"(2,015)"
