,Product_Name,Brand,Capacity,Original_Price,Discount_Price,Discount_Percentage,specification,Rating,totalNumberofRatingGivens
631,VIVA h2o Insulated Double Wall Hot & Cold 1000 ml Water...,VIVA,1000 ml,₹999,₹849,15% off,"Set of 1, Blue",4.8,(14)
632,ANNA CREATIONS GYM BOTTLE SHAKER 700 ML- 700 ml Shaker,ANNA,700 ML,₹599,₹175,70% off,"Pack of 1, Black, Plastic",3.6,(14)
633,SKY ENTERPRISES Copper Water Bottle 1000 ml Bottle,SKY,1000 ml,"₹1,299",₹420,67% off,"Pack of 1, Copper, Copper",NaN,NaN
634,Emmquor Gym Shaker and Sipper - Life Is A Sport - With ...,Emmquor,NaN,₹256,₹134,47% off,"Pack of 1, Multicolor, Plastic",4,(40)
635,QUINERGYS ™ Spider 3 in 1 Protein Milk Plastic Shaker.5...,QUINERGYS,NaN,₹374,₹199,46% off,"Pack of 1, Green, Tritan, Plastic",4.1,(97)
636,Milton Thermosteel Flip lid 1000 ml Flask 1000 ml Flask...,Milton,1000 ml,₹995,₹839,15% off,"Pack of 1, Silver, Steel",4.4,"(2,031)"
637,Milton KIP - SIP BOTTLE 1000 ml Bottle,Milton,1000 ml,₹370,₹199,46% off,"Pack of 2, Multicolor, Plastic",4,(83)
638,"CRAZYINK Hygienic Air Tight Italian Glass Water Bottle,...",CRAZYINK,NaN,"₹1,299",₹404,68% off,"Pack of 6, Clear, Glass",4.2,"(3,185)"
639,Greenchef SS Bottle - 750ml with Handle 750 ml Bottle,Greenchef,750ml,₹899,₹589,34% off,"Pack of 1, Silver, Steel",4.3,"(2,017)"
640,My 60 Minutes Gym Shaker 500 ml Shaker,My,500 ml,₹799,₹149,81% off,"Pack of 1, Black, Plastic",3.9,"(4,478)"
641,Spider Bottle Spider 3in 1 Protein Milk Plastic Shaker....,Spider,NaN,₹250,₹197,21% off,"Pack of 1, Green, Plastic",4.2,(993)
642,ADIDAS FOOTBALL MANCHESTER UNITED WATER BOTTLE 750 ml S...,ADIDAS,750 ml,₹599,₹569,5% off,"Pack of 1, Red, Plastic",4,(26)
643,STARRY Jointless Mirror Shine Stainless Steel Water Bot...,STARRY,NaN,₹549,₹299,45% off,"Pack of 1, Silver, Steel",NaN,NaN
644,Cadbury Bournvita Health,Cadbury,NaN,NaN,₹223,NaN,500 g,4.5,"(4,876)"
645,Cello Swift bottles 500 ml Bottle,Cello,500 ml,₹689,₹670,2% off,"Pack of 1, Silver, Steel",4.4,(370)
646,Cello Water Bottle (Pack Of 6) 1000 ml Bottle,Cello,1000 ml,₹275,₹230,16% off,"Pack of 6, Blue, Plastic",3.9,(48)
647,Flipkart SmartBuy Digital printed pure copper Premium w...,Flipkart,NaN,"₹3,999","₹1,099",72% off,"Pack of 2, Multicolor, Copper",4.1,(74)
648,Tupperware Round Fliptop Bottle Cool n Chic Rise n Shin...,Tupperware,NaN,₹650,₹589,9% off,"Pack of 2, Red, Blue, Plastic",4.6,(328)
649,Greenchef Kiyo Thermosteel stainless steel 1000 ml Bott...,Greenchef,1000 ml,"₹1,059",₹699,33% off,"Pack of 1, Silver, Steel",4.3,"(2,624)"
650,Milton HAWK 750 ml Bottle,Milton,750 ml,₹364,₹269,26% off,"Pack of 1, Pink, Steel",4.2,"(1,850)"
651,Milton Oscar Red 1000 ml Bottle,Milton,1000 ml,₹270,₹195,27% off,"Pack of 6, Red",4,(346)
652,Rema Stricker 600 Stainless Steel Water Bottle For Scho...,Rema,NaN,₹299,₹180,39% off,"Set of 1, Red",3.4,(8)
653,STARRY WaterBottle81 1000 ml Bottle,STARRY,1000 ml,₹499,₹239,52% off,"Pack of 1, Silver, Steel",NaN,NaN
654,MG Brand BTS Bangtan Boys Theme Fan Art Sipper Water Bo...,MG,NaN,₹599,₹349,41% off,Multicolor,NaN,NaN
